movie_title,rating,user_rating,genres,plot_keyword,director,top_5_casts,writer,votes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Fletch,6.9,52K,"['Comedy', 'Crime', 'Mystery']","['cocaine', 'car chase', 'flirting']",Michael Ritchie,"['Andrew Bergman', 'Phil Alden Robinson', 'Chevy Chase', 'Joe Don Baker', 'Dana Wheeler-Nicholson']",Gregory McDonald,52000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Loved Ones,6.6,41K,"['Crime', 'Horror']","['three word title', 'female psychopath', 'father daughter relationship', 'obsessive love', 'breast', 'dysfunctional family']",Sean Byrne,"['Xavier Samuel', 'Robin McLeavy', 'John Brumpton', 'Sean Byrne', 'Sean Byrne']",Sean Byrne,41000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Muppets Most Wanted,6.4,34K,"['Adventure', 'Comedy', 'Crime']","['singing', 'satirical', 'kermit the frog character', 'singing girl', 'satire', 'puppet']",James Bobin,"['Nicholas Stoller', 'Jim Henson', 'Ricky Gervais', 'Ty Burrell', 'Tina Fey']",James Bobin,34000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bugsy Malone,6.8,18K,"['Comedy', 'Crime', 'Family']","['title sung by character', 'character name as title', 'new york city', 'gangster', 'barefoot boy', 'directorial debut', 'two word title', 'singing', 'barefoot male']",Alan Parker,"['Jodie Foster', 'Scott Baio', 'Florence Garland', 'Alan Parker', 'Alan Parker']",Alan Parker,18000,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragnet,6.0,34K,"['Comedy', 'Crime']","['bikini', 'psychotronic film', '1980s film', 'visit', 'urban setting', 'criminal', 'buddy movie', 'city']",Tom Mankiewicz,"['Alan Zweibel', 'Tom Mankiewicz', 'Dan Aykroyd', 'Tom Hanks', 'Christopher Plummer']",Dan Aykroyd,34000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Dangerously,6.5,15K,"['Comedy', 'Crime']","['1930s', 'character name in title', 'timeframe 1910s', 'gangster', 'nightclub', 'spoof', 'organized crime', 'title spoken by character', 'timeframe 1930s']",Amy Heckerling,"['Bernie Kukoff', 'Harry Colomby', 'Michael Keaton', 'Joe Piscopo', 'Marilu Henner']",Norman Steinberg,15000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Married to the Mob,6.2,18K,"['Comedy', 'Crime', 'Romance']","['female frontal nudity', 'bikini', 'murder of a nude woman', 'panty', 'blonde', 'woman in jeopardy', 'mobster', 'nudity', 'female removes her clothes', 'voyeur']",Jonathan Demme,"['Mark R. Burns', 'Michelle Pfeiffer', 'Alec Baldwin', 'Paul Lazar', 'Jonathan Demme']",Barry Strugatz,18000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oscar,6.5,32K,"['Comedy', 'Crime']","['1930s', 'literature on screen', 'character name as title', 'european literature on screen', 'neo screwball comedy', 'name in title']",John Landis,"['Michael Barrie', 'Jim Mulholland', 'Sylvester Stallone', 'Ornella Muti', 'Peter Riegert']",Claude Magnier,32000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruthless People,6.9,28K,"['Comedy', 'Crime']","['double cross', 'kidnapping', 'fashion designer', 'husband wife relationship', 'ransom', 'extramarital affair', 'misunderstanding', 'businessman', 'greed']",Jim Abrahams,"['Jerry Zucker', 'Dale Launer', 'O. Henry', 'Bette Midler', 'Danny DeVito']",David Zucker,28000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extract,6.1,48K,"['Comedy', 'Crime', 'Romance']","['gigolo', 'male prostitute', 'bar', 'scene during end credits', 'hit in the crotch', 'con artist']",Mike Judge,"['Jason Bateman', 'Kristen Wiig', 'Ben Affleck', 'Mike Judge', 'Mike Judge']",Mike Judge,48000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Return of the Pink Panther,7.0,27K,"['Comedy', 'Crime', 'Mystery']","['destruction', 'assassination attempt', 'eavesdropping', 'hotel room', 'clumsiness']",Blake Edwards,"['Blake Edwards', 'Peter Sellers', 'Christopher Plummer', 'Catherine Schell', 'Blake Edwards']",Frank Waldman,27000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Super Troopers 2,6.0,26K,"['Comedy', 'Crime', 'Mystery']","['male frontal nudity', 'numbered sequel', 'male nudity', 'corruption', 'crowdfunded', 'male rear nudity', 'sequel', 'rivalry', 'friendship', 'second part']",Jay Chandrasekhar,"['Kevin Heffernan', 'Steve Lemme', 'Jay Chandrasekhar', 'Kevin Heffernan', 'Steve Lemme']",Jay Chandrasekhar,26000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bullets Over Broadway,7.4,39K,"['Comedy', 'Crime']","['bodyguard', 'rehearsal', 'new york city', 'gangster', 'actress', 'playwright', 'timeframe 1930s']",Woody Allen,"['Douglas McGrath', 'John Cusack', 'Dianne Wiest', 'Jennifer Tilly', 'Woody Allen']",Woody Allen,39000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Life Less Ordinary,6.3,36K,"['Comedy', 'Crime', 'Fantasy']","['janitor', 'kidnapping', 'heaven', 'angel', 'robot', 'dark comedy', 'hostage', 'revolver', 'black comedy']",Danny Boyle,"['Cameron Diaz', 'Ewan McGregor', 'Holly Hunter', 'Danny Boyle', 'John Hodge']",John Hodge,36000,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
After the Thin Man,7.6,11K,"['Comedy', 'Crime', 'Mystery']","['four word title', 'love triangle', 'aunt niece relationship', 'dinner party', 'hotel room', 'hotel', 'dead body', 'female singer']",W.S. Van Dyke,"['Albert Hackett', 'Dashiell Hammett', 'William Powell', 'Myrna Loy', 'James Stewart']",Frances Goodrich,11000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Keeping Mum,6.8,35K,"['Comedy', 'Crime']","['grandmother granddaughter relationship', 'mother son relationship', 'male female relationship', 'father daughter relationship', 'adulterous wife', 'father son relationship', 'trial', 'brother sister relationship', 'bully comeuppance', 'boyfriend girlfriend relationship']",Niall Johnson,"['Niall Johnson', 'Rowan Atkinson', 'Kristin Scott Thomas', 'Maggie Smith', 'Niall Johnson']",Richard Russo,35000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scoop,6.6,84K,"['Comedy', 'Crime', 'Fantasy']","['scantily clad female', 'serial killer', 'cleavage', 'implied sex', 'strong female lead']",Woody Allen,"['Scarlett Johansson', 'Hugh Jackman', 'Jim Dunk', 'Woody Allen', 'Woody Allen']",Woody Allen,84000,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tragedy Girls,6.0,10K,"['Comedy', 'Crime', 'Horror']","['female serial killer', 'bad guys win', 'dark comedy', 'murder']",Tyler MacIntyre,"['Tyler MacIntyre', 'Justin Olson', 'Brianna Hildebrand', 'Alexandra Shipp', 'Jack Quaid']",Chris Lee Hill,10000,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
